Прайс-лист,,,,,,,
Viber Telegram 0667010709 0967010709,,,,,,,
,,,,,,,
№ п/п,Код,Повна назва товару,Ціна(грн.),Опт.(грн.),Гарантія,,На складі
AirPods,,,,,,,
1,1139,Battery AirPods 1/2 ORIG,118.000,110.500,-,,+
3,1209,Battery AirPods 3 ORIG,403.500,378.000,-,,+
Galaxy / OCA Galaxy,,,,,,,
16,937,OCA Galaxy A50 Mitsubishi,18.000,17.000,-,,+
23,160,OCA Galaxy Note 8/9 ORIG,31.500,29.500,-,,+
Galaxy / АКБ Samsung Galaxy,,,,,,,
36,1640,Акумулятор Galaxy S20 ORIG,661.500,617.500,-,,+
